name,targetVersion,minorLine,frameworkDep,publishedAt,alreadyBundled
@activepieces/piece-activecampaign,0.0.11,0.0,0.20.2,2025-11-10T13:43:47.981Z,false
@activepieces/piece-activecampaign,0.1.5,0.1,0.30.0,2026-06-09T07:46:25.359Z,false
@activepieces/piece-activepieces,0.0.5,0.0,0.7.28,2024-03-25T17:29:16.586Z,false
@activepieces/piece-activepieces,0.1.1,0.1,0.7.37,2024-10-25T14:55:03.470Z,false
@activepieces/piece-activepieces,0.2.11,0.2,0.20.1,2025-10-20T16:43:31.423Z,false
@activepieces/piece-activepieces,0.3.1,0.3,0.20.2,2025-11-04T13:36:24.766Z,false
@activepieces/piece-activepieces,0.4.5,0.4,0.30.0,2026-06-11T05:36:34.396Z,false
@activepieces/piece-actualbudget,0.0.12,0.0,0.20.2,2025-11-09T14:23:45.432Z,false
@activepieces/piece-actualbudget,0.1.5,0.1,0.30.0,2026-06-11T05:36:44.766Z,false
@activepieces/piece-acuity-scheduling,0.0.7,0.0,0.20.1,2025-09-08T18:42:00.396Z,false
@activepieces/piece-acuity-scheduling,0.1.5,0.1,0.30.0,2026-06-09T07:46:30.696Z,false
@activepieces/piece-acumbamail,0.0.4,0.0,0.7.28,2024-04-06T02:24:16.543Z,false
@activepieces/piece-acumbamail,0.1.5,0.1,0.20.1,2025-09-08T18:41:59.992Z,false
@activepieces/piece-acumbamail,0.2.4,0.2,0.30.0,2026-06-11T05:23:18.042Z,false
@activepieces/piece-add-event,0.0.3,0.0,0.30.0,2026-06-11T05:35:00.117Z,false
@activepieces/piece-afforai,0.0.9,0.0,0.20.2,2025-11-10T13:43:48.025Z,false
@activepieces/piece-afforai,0.1.4,0.1,0.30.0,2026-06-11T05:36:02.741Z,false
@activepieces/piece-agentx,0.0.3,0.0,0.20.1,2025-10-20T16:43:31.362Z,false
@activepieces/piece-agentx,0.1.4,0.1,0.30.0,2026-06-11T05:35:30.919Z,false
@activepieces/piece-ai,0.0.9,0.0,0.23.0,2026-01-12T14:26:09.940Z,false
@activepieces/piece-ai,0.1.21,0.1,0.26.0,2026-03-15T18:52:49.624Z,false
